2021-10-25 12:07:44,660 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:07:49,652 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:07:49,653 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:07:54,589 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:07:54,590 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:07:58,486 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:07:58,486 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:08:02,469 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:08:02,470 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:13:29,060 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:13:29,060 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:13:33,371 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:13:33,372 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:13:37,202 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:13:37,203 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:13:41,188 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:13:41,189 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:13:45,197 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:13:45,198 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:13:50,656 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:13:50,658 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:13:54,738 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:13:54,739 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:13:58,854 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:13:58,854 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:14:04,002 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:14:04,003 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:14:08,044 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:14:08,045 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:16:05,275 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:16:05,275 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:16:10,065 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:16:10,065 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:16:14,152 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:16:14,153 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:16:18,110 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:16:18,111 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:51:09,699 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:51:09,699 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:51:13,725 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:51:13,726 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:51:17,494 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:51:17,495 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:51:21,518 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:51:21,519 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:51:25,590 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:51:25,591 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:51:29,727 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:51:29,727 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:51:33,750 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:51:33,751 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:51:37,794 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:51:37,795 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:51:41,912 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:51:41,913 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:52:22,408 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:52:22,408 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:52:26,470 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:52:26,471 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:52:29,551 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:52:29,552 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:52:34,601 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:52:34,602 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:52:40,021 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:52:40,022 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:52:44,969 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:52:44,969 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:54:34,424 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:54:34,424 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:55:33,171 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:55:33,171 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:56:31,431 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:56:31,431 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:57:18,876 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:57:18,876 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:57:40,868 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:57:40,868 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 12:57:57,422 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 12:57:57,422 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 13:00:24,506 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 13:00:24,506 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 13:00:29,496 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 13:00:29,497 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 13:00:35,802 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 13:00:35,802 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 16:26:45,613 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 16:26:45,613 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 16:53:25,620 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 16:53:25,620 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 16:53:50,518 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 16:55:07,667 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 16:55:07,667 (manager.py:117) [__main__][INFO] Align the structure to the template structure.
2021-10-25 16:55:32,464 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
2021-10-25 16:56:35,552 (manager.py:93) [__main__][INFO] Molecule was align_structure to [36, 37] location.
